CellID,sample,first_type,second_type,doublet_pair,nearest_first_type_distance,nearest_second_type_distance,first_type_supported,second_type_supported,both_types_supported,support_radius,contact_evidence,max_constituent_distance
PC1_cellid_000155259-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.22859798784671,16.6144904641918,TRUE,TRUE,TRUE,30,spatially_supported_contact,16.6144904641918
PC1_cellid_000155345-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,11.6734912378569,14.3194732128744,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.3194732128744
PC1_cellid_000155411-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,6.71741540678699,,TRUE,,FALSE,30,unsupported_mixture,
PC1_cellid_000155554-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,11.7079817736987,22.0879046125352,TRUE,TRUE,TRUE,30,spatially_supported_contact,22.0879046125352
PC1_cellid_000155555-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,14.3258450509297,17.8947591503492,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.8947591503492
PC1_cellid_000155608-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.05905622920776,14.9966209755853,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.9966209755853
PC1_cellid_000155724-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,11.6954332010628,19.9343640216559,TRUE,TRUE,TRUE,30,spatially_supported_contact,19.9343640216559
PC1_cellid_000156288-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,9.98623956055242,21.4832785670765,TRUE,TRUE,TRUE,30,spatially_supported_contact,21.4832785670765
PC1_cellid_000156375-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,10.4220501774193,7.06164674893915,TRUE,TRUE,TRUE,30,spatially_supported_contact,10.4220501774193
PC1_cellid_000156993-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,7.23795903586869,15.8223619943948,TRUE,TRUE,TRUE,30,spatially_supported_contact,15.8223619943948
PC1_cellid_000157082-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,7.60837712750565,,TRUE,,FALSE,30,unsupported_mixture,
PC1_cellid_000157108-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.06148561416745,9.00478532914177,TRUE,TRUE,TRUE,30,spatially_supported_contact,9.00478532914177
PC1_cellid_000157126-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,7.05899837655197,14.7834105211279,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.7834105211279
PC1_cellid_000157133-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,10.5955907515992,9.4869774207189,TRUE,TRUE,TRUE,30,spatially_supported_contact,10.5955907515992
PC1_cellid_000157144-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,24.9878382287882,13.3290061590739,TRUE,TRUE,TRUE,30,spatially_supported_contact,24.9878382287882
PC1_cellid_000157163-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,9.03561243543438,17.8298344568759,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.8298344568759
PC1_cellid_000157193-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,11.6830241050033,8.93205355675893,TRUE,TRUE,TRUE,30,spatially_supported_contact,11.6830241050033
PC1_cellid_000157328-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,11.0421663870302,30.6074994258381,TRUE,FALSE,FALSE,30,unsupported_mixture,30.6074994258381
PC1_cellid_000157358-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,12.8001167707504,12.733716254034,TRUE,TRUE,TRUE,30,spatially_supported_contact,12.8001167707504
PC1_cellid_000157497-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,7.61870142475189,14.2071366551221,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.2071366551221
PC1_cellid_000157654-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,7.23323374401722,23.3124160858853,TRUE,TRUE,TRUE,30,spatially_supported_contact,23.3124160858853
PC1_cellid_000157679-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.85284741237785,14.219348559634,TRUE,TRUE,TRUE,30,spatially_supported_contact,14.219348559634
PC1_cellid_000157719-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,10.0462422423409,27.2191866225198,TRUE,TRUE,TRUE,30,spatially_supported_contact,27.2191866225198
PC1_cellid_000157934-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,13.1306588458085,7.63136285823547,TRUE,TRUE,TRUE,30,spatially_supported_contact,13.1306588458085
PC1_cellid_000157964-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.05681335737959,17.4734076382868,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.4734076382868
PC1_cellid_000158169-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,12.6541295592465,11.0398845439281,TRUE,TRUE,TRUE,30,spatially_supported_contact,12.6541295592465
PC1_cellid_000158257-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.89588272292607,12.4136287201137,TRUE,TRUE,TRUE,30,spatially_supported_contact,12.4136287201137
PC1_cellid_000158356-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,10.2068227201279,19.3940511993493,TRUE,TRUE,TRUE,30,spatially_supported_contact,19.3940511993493
PC1_cellid_000158474-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,11.6688463840483,11.1736033137035,TRUE,TRUE,TRUE,30,spatially_supported_contact,11.6688463840483
PC1_cellid_000158553-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,12.1573086529414,15.2753304129722,TRUE,TRUE,TRUE,30,spatially_supported_contact,15.2753304129722
PC1_cellid_000158575-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.24837123693901,17.1903468520261,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.1903468520261
PC1_cellid_000158742-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.8342748093304,26.0251062053509,TRUE,TRUE,TRUE,30,spatially_supported_contact,26.0251062053509
PC1_cellid_000158757-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,10.629099431333,,TRUE,,FALSE,30,unsupported_mixture,
PC1_cellid_000158844-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,9.98392280566062,13.5759249572134,TRUE,TRUE,TRUE,30,spatially_supported_contact,13.5759249572134
PC1_cellid_000158977-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,10.6530575270494,19.8721513481381,TRUE,TRUE,TRUE,30,spatially_supported_contact,19.8721513481381
PC1_cellid_000159092-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,20.574367757138,9.9979655719772,TRUE,TRUE,TRUE,30,spatially_supported_contact,20.574367757138
PC1_cellid_000159214-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,7.5976388975848,5.85594905963479,TRUE,TRUE,TRUE,30,spatially_supported_contact,7.5976388975848
